doi	 Authors	 Year	 Title	 Journal
10.1287/isre.6.1.3	Barua	1995	Information Technologies and Business Value: An Analytic and Empirical Investigation	Information Systems Research
10.1287/isre.3.4.307	Weill	1992	The Relationship Between Investment in Information Technology and Firm Performance: A Study of the Valve Manufacturing Sector	Information Systems Research
10.1287/isre.1.4.440	Zmud	1990	An Attribute Space for Organizational Communication Channels	Information Systems Research
10.1287/isre.1050.0064	Bakos et al.	2005	The Impact of E-Commerce on Competition in the Retail Brokerage Industry	Information Systems Research
10.1287/isre.1090.0256	Hsieh	2011	Addressing Digital Inequality for the Socioeconomically Disadvantaged Through Government Initiatives: Forms of Capital That Affect ICT Utilization	Information Systems Research
10.1287/isre.1070.0113	Ma & Agarwal	2007	Through a Glass Darkly: Information Technology Design, Identity Verification, and Knowledge Contribution in Online Communities	Information Systems Research
10.1287/isre.10.2.134	Hitt	1999	Information Technology and Firm Boundaries: Evidence from Panel Data	Information Systems Research
10.1287/isre.1110.0408	Aral	2012	Information, Technology, and Information Worker Productivity	Information Systems Research
10.1287/isre.11.4.418.11876	Agarwal	2000	Research Report: The Evolving Relationship Between General and Specific Computer Self-Efficacy—An Empirical Assessment	Information Systems Research
10.1287/isre.1120.0453	Ghose	2013	How Is the Mobile Internet Different? Search Costs and Local Activities	Information Systems Research
10.1287/isre.1090.0260	Tsai et al.	2011	The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study	Information Systems Research
10.1287/isre.14.2.127.16019	Kohli & Devaraj	2003	Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research	Information Systems Research
10.1287/isre.6.4.376	Walsham	1995	The Emergence of Interpretivism in IS Research	Information Systems Research
10.1287/isre.1090.0273	Wei et al.	2011	Conceptualizing and Testing a Social Cognitive Model of the Digital Divide	Information Systems Research
10.1287/isre.5.2.110	Galegher & Kraut	1994	Computer-Mediated Communication for Intellectual Teamwork: An Experiment in Group Writing	Information Systems Research
10.1287/isre.7.1.111	Star & Ruhleder	1996	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	Information Systems Research
10.1287/isre.1120.0468	Burtch	2013	An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets	Information Systems Research
10.1287/isre.1040.0032	Malhotra	2004	Internet Users' Information Privacy Concerns (IUIPC): The Construct, the Scale, and a Causal Model	Information Systems Research
10.1287/isre.13.3.334.81	McKnight	2002	Developing and Validating Trust Measures for e-Commerce: An Integrative Typology	Information Systems Research
10.1287/isre.2014.0547	Yaraghi et al.	2015	Health Information Exchange as a Multisided Platform: Adoption, Usage, and Practice Involvement in Service Co-Production	Information Systems Research
10.1287/isre.9.4.380	Gopal & Sanders	1998	International Software Piracy: Analysis of Key Issues and Impacts	Information Systems Research
10.1287/isre.1100.0327	Agarwal et al.	2010	Research Commentary—The Digital Transformation of Healthcare: Current Status and the Road Ahead	Information Systems Research
10.1287/isre.1090.0239	Cummings	2009	Crossing Spatial and Temporal Boundaries in Globally Distributed Projects: A Relational Model of Coordination Delay	Information Systems Research
10.1287/isre.1060.0094	Pavlou & El Sawy	2006	From IT Leveraging Competence to Competitive Advantage in Turbulent Environments: The Case of New Product Development	Information Systems Research
10.1287/isre.1100.0322	Yoo	2010	Research Commentary—The New Organizing Logic of Digital Innovation: An Agenda for Information Systems Research	Information Systems Research
10.1287/isre.1100.0318	Tilson	2010	Research Commentary—Digital Infrastructures: The Missing IS Research Agenda	Information Systems Research
