doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1287/isre.6.1.3	Information Technologies and Business Value: An Analytic and Empirical Investigation	National Bureau of Economic Research	2013	Digital Dark Matter and the Economic Contribution of Apache	http://nber.org/papers/w19507
10.1287/isre.3.4.307	The Relationship Between Investment in Information Technology and Firm Performance: A Study of the Valve Manufacturing Sector	National Academies Press	1998	Fostering Research on the Economic and Social Impacts of Information Technology	https://www.nap.edu/catalog/6269/fostering-research-on-the-economic-and-social-impacts-of-information-technology
10.1287/isre.1.4.440	An Attribute Space for Organizational Communication Channels	National Academies Press	2011	Threatening Communications and Behavior: Perspectives on the Pursuit of Public Figures	https://www.nap.edu/catalog/13091/threatening-communications-and-behavior-perspectives-on-the-pursuit-of-public
10.1287/isre.1050.0064	The Impact of E-Commerce on Competition in the Retail Brokerage Industry	UK Government (GOV.UK)	2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.1287/isre.1090.0256	Addressing Digital Inequality for the Socioeconomically Disadvantaged Through Government Initiatives: Forms of Capital That Affect ICT Utilization	Analysis & Policy Observatory (APO)	2012	Public access, private mobile: the interplay of shared access and the mobile Internet for teenagers in Cape Town	http://apo.org.au/node/32039
10.1287/isre.1070.0113	Through a Glass Darkly: Information Technology Design, Identity Verification, and Knowledge Contribution in Online Communities	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1287/isre.10.2.134	Information Technology and Firm Boundaries: Evidence from Panel Data	National Bureau of Economic Research	2013	Digitization and the Contract Labor Market: A Research Agenda	http://nber.org/papers/w19525
10.1287/isre.1110.0408	Information, Technology, and Information Worker Productivity	The Publications Office of the European Union	2013	ICT and productivity - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/d9cdb5ed-aaa5-4030-9623-c46769068e39/language-en/format-PDF
10.1287/isre.11.4.418.11876	Research Report: The Evolving Relationship Between General and Specific Computer Self-Efficacy—An Empirical Assessment	Analysis & Policy Observatory (APO)	2014	Factors impacting teachers’ adoption of mobile learning	http://apo.org.au/node/41352
10.1287/isre.1120.0453	How Is the Mobile Internet Different? Search Costs and Local Activities	UK Government (GOV.UK)	2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.1287/isre.1090.0260	The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study	overheid.nl	2013	TNO-rapport 'Stimulerende en remmende factoren van Privacy by Design in Nederland'	https://zoek.officielebekendmakingen.nl/blg-228946.pdf
10.1287/isre.1090.0260	The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study	rijksoverheid.nl	2012	Stimulerende en remmende factoren van Privacy by Design in Nederland - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2012/05/01/stimulerende-en-remmende-factoren-van-privacy-by-design-in-nederland
10.1287/isre.14.2.127.16019	Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1287/isre.6.4.376	The Emergence of Interpretivism in IS Research	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1287/isre.1090.0273	Conceptualizing and Testing a Social Cognitive Model of the Digital Divide	The Publications Office of the European Union	2015	Learning and teaching technology options - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/d2b56696-e05a-4280-bf79-3b1f83e9101a/language-en/format-PDF
10.1287/isre.5.2.110	Computer-Mediated Communication for Intellectual Teamwork: An Experiment in Group Writing	National Academies Press	1969	Research Recommendations to Facilitate Distributed Work	https://www.nap.edu/catalog/4812/research-recommendations-to-facilitate-distributed-work
10.1287/isre.7.1.111	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	Analysis & Policy Observatory (APO)	2014	Homeless and connected: mobile phones and the Internet in the lives of homeless Australians	http://apo.org.au/node/40723
10.1287/isre.7.1.111	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	Analysis & Policy Observatory (APO)	2013	Knowledge infrastructures: intellectual frameworks and research challenges	http://apo.org.au/node/53828
10.1287/isre.7.1.111	Steps Toward an Ecology of Infrastructure: Design and Access for Large Information Spaces	National Academies Press	1999	Distributed Geolibraries: Spatial Information Resources, Summary of a Workshop	https://www.nap.edu/catalog/9460/distributed-geolibraries-spatial-information-resources-summary-of-a-workshop
10.1287/isre.1120.0468	An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets	The Publications Office of the European Union	2016	Crowdfunding from an investor perspective - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/176b77c8-18cd-11e6-ba9a-01aa75ed71a1/language-en/format-PDF
10.1287/isre.1120.0468	An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets	National Bureau of Economic Research	2015	Slack Time and Innovation	http://www.nber.org/papers/w21134
10.1287/isre.1040.0032	Internet Users' Information Privacy Concerns (IUIPC): The Construct, the Scale, and a Causal Model	Analysis & Policy Observatory (APO)	2017	Towards responsive regulation of the Internet of Things: Australian perspectives	http://apo.org.au/node/74849
10.1287/isre.13.3.334.81	Developing and Validating Trust Measures for e-Commerce: An Integrative Typology	UK Government (GOV.UK)	2012	Trust and confidence in pensions: A literature review	https://www.gov.uk/government/publications/trust-and-confidence-in-pensions-a-literature-review
10.1287/isre.2014.0547	Health Information Exchange as a Multisided Platform: Adoption, Usage, and Practice Involvement in Service Co-Production	Brookings Institute	2015	The benefits of health information exchange platforms: Measuring the returns on a half a billion dollar investment	https://www.brookings.edu/research/the-benefits-of-health-information-exchange-platforms-measuring-the-returns-on-a-half-a-billion-dollar-investment/
10.1287/isre.9.4.380	International Software Piracy: Analysis of Key Issues and Impacts	National Bureau of Economic Research	2013	The Nature and Incidence of Software Piracy: Evidence from Windows	http://nber.org/papers/w19755
10.1287/isre.1100.0327	Research Commentary—The Digital Transformation of Healthcare: Current Status and the Road Ahead	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1287/isre.1090.0239	Crossing Spatial and Temporal Boundaries in Globally Distributed Projects: A Relational Model of Coordination Delay	National Academies Press	2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1287/isre.1060.0094	From IT Leveraging Competence to Competitive Advantage in Turbulent Environments: The Case of New Product Development	Brookings Institute	2017	Digitalization and the American workforce	https://www.brookings.edu/research/digitalization-and-the-american-workforce/
10.1287/isre.1100.0322	              Research Commentary              —The New Organizing Logic of Digital Innovation: An Agenda for Information Systems Research            	Analysis & Policy Observatory (APO)	2016	Index on digital life	http://apo.org.au/node/65326
10.1287/isre.1100.0318	              Research Commentary              —Digital Infrastructures: The Missing IS Research Agenda            	Australian Policy Online	2016	Index on digital life	http://apo.org.au/node/65326
