doi	 Authors	 Year	 Title	 Journal
10.1057/palgrave.ejis.3000619	Wakefield & Whitten	2006	Mobile computing: a user study on hedonic/utilitarian mobile device usage	European Journal of Information Systems
10.1057/ejis.2010.54	Chang et al.	2011	Information system personnel career anchor changes leading to career changes	European Journal of Information Systems
10.1057/palgrave.ejis.3000470	Winter	2003	Electronic window dressing: impression management with Websites	European Journal of Information Systems
10.1057/ejis.2008.2	Boonstra	2008	Stakeholder management in IOS projects: analysis of an attempt to implement an electronic patient file	European Journal of Information Systems
10.1057/ejis.2008.19	Panko	2008	IT employment prospects: beyond the dotcom bubble	European Journal of Information Systems
10.1057/ejis.2008.35	Irani & Elliman	2008	Creating social entrepreneurship in local government	European Journal of Information Systems
10.1057/ejis.2008.56	Meso et al.	2009	Information infrastructure, governance, and socio-economic development in developing countries	European Journal of Information Systems
10.1057/ejis.2009.31	Trauth	2009	Retaining women in the U.S. IT workforce: theorizing the influence of organizational factors	European Journal of Information Systems
10.1057/ejis.2008.29	Junglas	2008	Personality traits and concern for privacy: an empirical study in the context of location-based services	European Journal of Information Systems
10.1057/ejis.2012.1	Turel & Serenko	2012	The benefits and dangers of enjoyment with social networking websites	European Journal of Information Systems
10.1057/palgrave.ejis.3000589	Walsham	2006	Doing interpretive research	European Journal of Information Systems
10.1057/palgrave.ejis.3000714	Reardon & Davidson	2007	An organizational learning perspective on the assimilation of electronic medical records among small physician practices	European Journal of Information Systems
10.1057/palgrave.ejis.3000717	Bhattacherjee & Hikmet	2007	Physicians' resistance toward healthcare information technology: a theoretical model and empirical test	European Journal of Information Systems
10.1057/palgrave.ejis.3000446	Hedman & Kalling	2003	The business model concept: theoretical underpinnings and empirical illustrations	European Journal of Information Systems
10.1057/ejis.2010.21	Al-Debei & Avison	2010	Developing a unified framework of the business model concept	European Journal of Information Systems
