doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.2753/mis0742-122230304	Online Consumer Search Depth: Theories and New Findings	UK Government (GOV.UK)	05 Apr 2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.2753/mis0742-1222230107	Buyers' Choice of Online Search Strategy and Its Managerial Implications	UK Government (GOV.UK)	05 Apr 2017	Online search: Consumer and firm behaviour	https://www.gov.uk/government/publications/online-search-behaviour-literature-review
10.2753/mis0742-1222230410	Recommendation Agents for Electronic Commerce: Effects of Explanation Facilities on Trusting Beliefs	Analysis & Policy Observatory (APO)	17 Sep 2009	Copycats? Digital consumers in the on-line age	http://apo.org.au/node/19575
10.2753/mis0742-1222270303	Regulation of Digital Businesses with Natural Monopolies or Third-Party Payment Business Models: Antitrust Lessons from the Analysis of Google	Analysis & Policy Observatory (APO)	30 Mar 2016	Tech giants and civic power	http://apo.org.au/node/64837
10.2753/mis0742-1222250105	Multiple Group Coordination in Complex and Dynamic Task Environments: Interruptions, Coping Mechanisms, and Technology Recommendations	National Academies Press	01 Jan 2013	Guidebook to Creating a Collaborative Environment Between Airport Operations and Maintenance	https://www.nap.edu/catalog/22478/guidebook-to-creating-a-collaborative-environment-between-airport-operations-and-maintenance
10.1080/07421222.2003.11045746	Team Boundary Issues Across Multiple Global Firms	National Academies Press	01 Jan 2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1080/07421222.2005.11045846	A Pricing Mechanism for Digital Content Distribution Over Computer Networks	Analysis & Policy Observatory (APO)	17 Sep 2009	Copycats? Digital consumers in the on-line age	http://apo.org.au/node/19575
10.1080/07421222.2004.11045779	A Comparison of Classification Methods for Predicting Deception in Computer-Mediated Communication	National Academies Press	01 Jan 2011	Threatening Communications and Behavior: Perspectives on the Pursuit of Public Figures	https://www.nap.edu/catalog/13091/threatening-communications-and-behavior-perspectives-on-the-pursuit-of-public
10.1080/07421222.2003.11045742	Because Time Matters: Temporal Coordination in Global Virtual Project Teams	National Academies Press	01 Jan 2015	Enhancing the Effectiveness of Team Science	https://www.nap.edu/catalog/19007/enhancing-the-effectiveness-of-team-science
10.1080/07421222.2000.11518265	Information Technology Payoff in the Health-Care Industry: A Longitudinal Study	The Publications Office of the European Union	14 Sep 2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1080/07421222.1997.11518142	To Purchase or to Pirate Software: An Empirical Study	Analysis & Policy Observatory (APO)	03 Apr 2007	Copyright protection and innovation in the presence of commercial piracy	http://apo.org.au/node/15774
10.1080/07421222.1997.11518166	Information Technology and Internal Firm Organization: An Exploratory Analysis	National Academies Press	01 Jan 1998	Fostering Research on the Economic and Social Impacts of Information Technology	https://www.nap.edu/catalog/6269/fostering-research-on-the-economic-and-social-impacts-of-information-technology
10.1080/07421222.1997.11518146	Organizational Transformation Using Electronic Data Interchange: The Case of TradeNet in Singapore	The Inter-American Development Bank	12 Dec 2016	Out of the Border Labyrinth: An Assessment of Trade Facilitation Initiatives in Latin America and the Caribbean	https://publications.iadb.org/handle/11319/7994?locale-attribute=en
10.1080/07421222.1997.11518164	Competing in Information-Intensive Services: Analyzing the Impact of Task Consolidation and Employee Empowerment	UNESCO	01 Jan 2017	Integrity and accountability in education in Tajikistan	http://www.unesco.org/ulis/cgi-bin/ulis.pl?catno=259551&gp=1&lin=1&ll=1&set=005A727078_1_399
10.1080/07421222.1993.11518003	A Short-Form Measure of Career Orientations: A Psychometric Evaluation	Analysis & Policy Observatory (APO)	17 Jun 2008	'Follow your bliss' or 'show me the money'? Career orientations, career management competence and career success	http://apo.org.au/node/14938
10.1080/07421222.1994.11518019	The Global Network Organization of the Future: Information Management Opportunities and Challenges	The Publications Office of the European Union	20 May 2014	Sustainable value creation in networked working environments (network4value) - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/5f17981e-354d-43c2-9d61-85882a02f7a7/language-en/format-PDF
10.1080/07421222.1993.11517998	The Impact of Information Technology on the Organization of Economic Activity: The “Move to the Middle” Hypothesis	rijksoverheid.nl	16 Jul 2010	Uitbesteden? Wat brengt de toekomst. Vier scenario's voor intermediaire e-overheidsdiensten voor bedrijven - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2010/07/16/uitbesteden-wat-brengt-de-toekomst-vier-scenario-s-voor-intermediaire-e-overheidsdiensten-voor-bedrijven
10.1080/07421222.1999.11518247	Examining the Technology Acceptance Model Using Physician Acceptance of Telemedicine Technology	World Health Organization	01 Jan 2010	Context dependency of medical devices: background paper 5, August 2010	http://apps.who.int/iris/handle/10665/70456
10.1080/07421222.1990.11517880	Path Analysis of the Relationship between Competitive Strategy, Information Technology, and Financial Performance	National Academies Press	01 Jan 1997	Precision Agriculture in the 21st Century: Geospatial and Information Technologies in Crop Management	https://www.nap.edu/catalog/5491/precision-agriculture-in-the-21st-century-geospatial-and-information-technologies
10.1080/07421222.1990.11517889	A Microeconomic Approach to the Measurement of Information Technology Value	National Academies Press	01 Jan 1994	Information Technology in the Service Society: A Twenty-First Century Lever	https://www.nap.edu/catalog/2237/information-technology-in-the-service-society-a-twenty-first-century
