doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1016/s0963-8687(04)00003-4	Information technology and the transformation of industries: three research perspectives	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1016/s0963-8687(01)00043-9	Information technology, strategic decision making approaches and organizational performance in different industrial settings	The Publications Office of the European Union	2010	ICT and regional economic dynamics - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/49038fb7-d0e6-4564-8dda-c0449a96c06b/language-en/format-PDF
10.1016/s0963-8687(02)00023-9	Bridging communities of practice with information technology in pursuit of global knowledge sharing	Analysis & Policy Observatory (APO)	2010	The Internet economy 25 years after .com: transforming life and commerce	http://apo.org.au/node/21452
10.1016/j.jsis.2009.05.001	The role of IT in crisis response: Lessons from the SARS and Asian Tsunami disasters	World Health Organization	2014	A systematic review of public health emergency operations centres (EOC): December 2013	http://apps.who.int/iris/handle/10665/99043
10.1016/j.jsis.2012.03.002	‘Orchestrating’ sustainable crowdsourcing: A characterisation of solver brokerages	The Publications Office of the European Union	2015	Open innovation in industry, including 3D printing - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/45146fea-0559-4624-8c86-5bd1b3ff142b/language-en/format-PDF
10.1016/j.jsis.2012.04.003	How does social software change knowledge management? Toward a strategic research agenda	Analysis & Policy Observatory (APO)	2014	Evaluating the user perceived usefulness of enterprise social networking	http://apo.org.au/node/53153
10.1016/j.jsis.2011.11.002	Knowledge risks in organizational networks: The practice perspective	Analysis & Policy Observatory (APO)	2017	Towards responsive regulation of the Internet of Things: Australian perspectives	http://apo.org.au/node/74849
10.1016/j.jsis.2015.09.001	Resistance to crowdfunding among entrepreneurs: An impression management perspective 	The Publications Office of the European Union	2017	Assessing the potential for crowdfunding and other forms of alternative finance to support research and innovation - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/760f5f64-316b-11e7-9412-01aa75ed71a1/language-en/format-PDF
10.1016/j.jsis.2015.09.001	Resistance to crowdfunding among entrepreneurs: An impression management perspective 	The Publications Office of the European Union	2017	Assessing the potential for crowdfunding and other forms of alternative finance to support research and innovation - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/3190dbeb-316e-11e7-9412-01aa75ed71a1/language-en/format-PDF
10.1016/0963-8687(95)80020-q	Cooperative supply chain management: the impact of interorganizational information systems	World Bank	2007	Science, Technology and Skills	https://openknowledge.worldbank.org/bitstream/10986/9201/1/WDR2008_0026.pdf
