doi 	 article_title 	 policy_source 	 policy_date 	 policy_doc_title 	 policy_doc_link 
10.1057/palgrave.ejis.3000619	Mobile computing: a user study on hedonic/utilitarian mobile device usage	Analysis & Policy Observatory (APO)	2009	Copycats? Digital consumers in the on-line age	http://apo.org.au/node/19575
10.1057/ejis.2010.54	Information system personnel career anchor changes leading to career changes	National Academies Press	2014	Career Choices of Female Engineers: A Summary of a Workshop	https://www.nap.edu/catalog/18810/career-choices-of-female-engineers-a-summary-of-a-workshop
10.1057/palgrave.ejis.3000470	Electronic window dressing: impression management with Websites	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1057/ejis.2008.2	Stakeholder management in IOS projects: analysis of an attempt to implement an electronic patient file	rijksoverheid.nl	2014	Meer controle door burgers over hun persoonsgegevens - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2015/05/06/meer-controle-door-burgers-over-hun-persoonsgegevens
10.1057/ejis.2008.19	IT employment prospects: beyond the dotcom bubble	Analysis & Policy Observatory (APO)	2014	Boosting productivity in the services sector: 2nd interim report - competition and ICT topics	http://apo.org.au/node/37512
10.1057/ejis.2008.19	IT employment prospects: beyond the dotcom bubble	Analysis & Policy Observatory (APO)	2010	The Internet economy 25 years after .com: transforming life and commerce	http://apo.org.au/node/21452
10.1057/ejis.2008.35	Creating social entrepreneurship in local government	UK Government (GOV.UK)	2010	Literature review to inform the future digitisation of Jobcentre Plusservice delivery (RR679): report	https://www.gov.uk/government/publications/literature-review-to-inform-the-future-digitisation-of-jobcentre-plus-service-delivery-rr679
10.1057/ejis.2008.56	Information infrastructure, governance, and socio-economic development in developing countries	Food and Agriculture Organization of the United Nations	2016	Adopter une approche territoriale dans les politiques de sécurité alimentaire et nutritionnelle	http://www.fao.org/3/a-bl336f.pdf
10.1057/ejis.2008.56	Information infrastructure, governance, and socio-economic development in developing countries	Food and Agriculture Organization of the United Nations	2016	Adopting a Territorial Approach to Food Security and Nutrition Policy	http://www.fao.org/3/a-bl336e.pdf
10.1057/ejis.2009.31	Retaining women in the U.S. IT workforce: theorizing the influence of organizational factors	National Academies Press	2014	Career Choices of Female Engineers: A Summary of a Workshop	https://www.nap.edu/catalog/18810/career-choices-of-female-engineers-a-summary-of-a-workshop
10.1057/ejis.2008.29	Personality traits and concern for privacy: an empirical study in the context of location-based services	rijksoverheid.nl	2014	Meer controle door burgers over hun persoonsgegevens - Rapport - Rijksoverheid.nl	https://www.rijksoverheid.nl/documenten/rapporten/2015/05/06/meer-controle-door-burgers-over-hun-persoonsgegevens
10.1057/ejis.2012.1	The benefits and dangers of enjoyment with social networking websites	World Health Organization	2015	Public health implications of excessive use of the internet, computers, smartphones and similar electronic devices: meeting report, Main Meeting Hall, Foundation for Promotion of Cancer Research, National Cancer Research Centre, Tokyo, Japan, 27-29 August 2014	http://apps.who.int/iris/handle/10665/184264
10.1057/palgrave.ejis.3000589	Doing interpretive research	Analysis & Policy Observatory (APO)	2013	Presentation of digital self in everyday life	http://apo.org.au/node/33137
10.1057/palgrave.ejis.3000714	An organizational learning perspective on the assimilation of electronic medical records among small physician practices	National Academies Press	2012	Monitoring HIV Care in the United States: Indicators and Data Systems	https://www.nap.edu/catalog/13225/monitoring-hiv-care-in-the-united-states-indicators-and-data
10.1057/palgrave.ejis.3000717	Physicians' resistance toward healthcare information technology: a theoretical model and empirical test	National Academies Press	2012	Monitoring HIV Care in the United States: Indicators and Data Systems	https://www.nap.edu/catalog/13225/monitoring-hiv-care-in-the-united-states-indicators-and-data
10.1057/palgrave.ejis.3000446	The business model concept: theoretical underpinnings and empirical illustrations	The Publications Office of the European Union	2014	Business models for eHealth - EU Law and Publications	http://publications.europa.eu/en/publication-detail/-/publication/04e0030f-79cd-4146-86c9-b42c741a2fec/language-en/format-PDF
